Nume magazin,Oras,Adresa,Nr telefon
VERANDA MALL,BUCURESTI,"Str Ziduri Mosi 23 ( nivelul 0 parter, in fata caselor de marcat Carrefour)",0744 456 883
AFI PALACE MALL COTROCENI,BUCURESTI,"Blvd Gral Paul Teodorescu nr.4, parter, vis-à-vis de Musette",0744 456 883
SUPERNOVA LUJERULUI,BUCURESTI,"Blvd.Iuliu Maniu 19,parter, linia caselor de marcat Carrefour",0757 265 639
SUPERNOVA ALEXANDRIEI,BUCURESTI,"Sos Alexandriei 152,parter, pe linia caselor de marcat la zona Tabac",0744 477 115
CENTRU ESPLANADA PANTELIMON,BUCURESTI,"Sos.Vergului 20,parter,zona de food, vis-à-vis de Yokko",0743 112 346
PIATA RESITA,BUCURESTI,"str Resita, nr 5B,parter,langa Casino Las Vegas",0743 112 341
COMPLEX BIG BERCENI,BUCURESTI,"soseaua Berceni 2,parter",0722 253 809
MEGA MALL PANTELIMON,BUCURESTI,"Bulevardul Pierre de Coubertin 3-5,vis-à-vis de Notino",0722 253 809
GRAND ARENA,BUCURESTI,"Bulevardul Metalurgiei 12-18,-parter, vis-à-vis de Polo Assn",0758 056 318
AUCHAN MILITARI,BUCURESTI,"Bulevardul Iuliu Maniu nr. 536,parter,vis-à-vis de Noriel",0743 112 348
SUN PLAZZA MALL,BUCURESTI,"Calea Văcărești 391, parter,vis-à-vis de Vodafone ",0722 253 809
MAGAZIN SECUILOR,BUCURESTI,"str Secuilor nr.2, langa Ela Salon",0743 112 344
PARK LAKE,BUCURESTI,"Str. Liviu Rebreanu 4,etaj -2,vis-à-vis de amanet Tezaur",0748 054 725
IRIS TITAN,BUCURESTI,"Bulevardul 1 Decembrie 1918, vis-à-vis de H&M",0752 089 752
MAGAZIN PIATA RAHOVA,BUCURESTI,"Calea Rahova, in piata Rahova",0724 832 842
ARGES MALL,PITESTI,"str.Tudor Vladimirescu 37,parter,vis-a vis de DM",0747 682 704
TRIVALE SHOPPING CENTER,PITESTI,"str Victoriei,parter, intrare",0747 682 704
AUCHAN PITESTI,PITESTI,"Geamana,parter, vis-à-vis Pepco",0747 682 704
BRAILA MALL,BRAILA,"Strada Principală 4B,vis-à-vis de Moneygram Exchange",0722 253 809
COMPLEX COMERCIAL BRINTEX,BRASOV,"Șoseaua Cristianului 7, intrarea catre supermarketul La Cocos",0722 253 809
SHOPPING CITY BUZAU,BUZAU,"Bulevardul Unirii 232,vis-à-vis de magazinul Pepco",0722 253 809
IULIUS MALL CLUJ,CLUJ,"Strada Alexandru Vaida Voevod 53B,etaj, vis-à-vis de Torry Milano",0722 253 809
COMERCIAL TOM,CONSTANTA,"Blvd Tomis 391,parter, vis-à-vis de Esenta Plant",0742 788 397
MALL ELECTROPUTERE PARC CRAIOVA,CRAIOVA,"Calea Bucuresti 80, langa Banca Transilvania",0747 682 704
SHOPPING CITY GALATI,GALATI,"Bulevardul George Coșbuc 251,parter, vis-à-vis de magazinul Pepco",0722 253 809
JIUL SHOPPING CENTER,PETROSANI,"Str 1 Decembrie 1918, nr 79,parter",0774 048 094
PALLAS MALL,IASI,"Strada Palas 7A,corp A, etaj cupola, vis-à-vis de magazinul Mango",0722 253 809
MOLDOVA MALL,IASI,"Șoseaua Păcurari 121,corp nou,vis-à-vis de Waikiki",0722 253 809
DN1 VALUE CENTER,BALOTESTI,"Calea Bucuresti 2bis,parter,pe linia caselor de marcat, vis-à-vis de Diverta",0736 458 203
COMPLEX BRAGADIRU,BRAGADIRU,"soseaua Alexandriei nr.229,Complex Bragadiru",0769 736 104
MAGAZINUL BUFTEA,BUFTEA,strada Oltului nr.4,0761 612 021
MAGAZIN CARACAL,CARACAL,"strada Aleea Lipscani bl 22 B,parter",0765 453 484
MAGAZIN SLATINA,SLATINA,"blvd Ioan Cuza bloc V4, parter",0765 453 484
SHOPPING CITY PLOIESTI,PLOIESTI,"Bulevardul Republicii 76,vis-à-vis de magazinul Teilor",0722 253 809
RIVER PLAZA MALL,VALCEA,"Calea lui Traian 121, etaj 1",0747 682 704
SUCEAVA IULIUS MALL,IASI,"Calea Unirii 22,corp nou, vis-à-vis de H&M",0722 253 809
MAGAZIN VIVO,CONSTANTA,"Blvd.Aurel Vlaicu 220,parter,intrarea 2 intre Pandora si Splendor",0742 788 397
